mktrf,smb,hml,rf,dateff
0.083700,0.027600,-0.003900,0.00210,2019-01-31
0.034200,0.020500,-0.026600,0.00180,2019-02-28
0.011000,-0.030300,-0.041400,0.00190,2019-03-29
0.039700,-0.017400,0.021300,0.00210,2019-04-30
-0.069200,-0.012600,-0.024500,0.00210,2019-05-31
0.069200,0.002600,-0.006400,0.00180,2019-06-28
0.012300,-0.019600,0.005000,0.00190,2019-07-31
-0.025500,-0.023900,-0.047700,0.00160,2019-08-30
0.014100,-0.009700,0.067600,0.00180,2019-09-30
0.020700,0.002700,-0.019200,0.00150,2019-10-31
0.038700,0.007200,-0.020000,0.00120,2019-11-29
0.027700,0.007600,0.017300,0.00140,2019-12-31
-0.001100,-0.031000,-0.062200,0.00130,2020-01-31
-0.081500,0.010800,-0.038200,0.00120,2020-02-28
-0.133700,-0.046900,-0.138300,0.00120,2020-03-31
0.136000,0.025000,-0.013400,0.00000,2020-04-30
0.055700,0.024000,-0.050000,0.00010,2020-05-29
0.024500,0.026700,-0.021700,0.00010,2020-06-30
0.058300,-0.023500,-0.014400,0.00010,2020-07-31
0.076200,-0.002000,-0.030200,0.00010,2020-08-31
-0.036400,0.000600,-0.027200,0.00010,2020-09-30
-0.020800,0.043400,0.042500,0.00010,2020-10-30
0.124500,0.058100,0.020900,0.00010,2020-11-30
0.046300,0.050100,-0.016800,0.00010,2020-12-31
-0.000700,0.071400,0.032200,0.00000,2021-01-29
0.028100,0.020200,0.072000,0.00000,2021-02-26
0.031600,-0.023300,0.073500,0.00000,2021-03-31
0.049500,-0.031900,-0.010200,0.00000,2021-04-30
0.003000,-0.002000,0.070400,0.00000,2021-05-28
0.027400,0.017000,-0.078600,0.00000,2021-06-30
0.013400,-0.039300,-0.017900,0.00000,2021-07-30
0.029400,-0.003200,-0.002300,0.00000,2021-08-31
-0.044000,0.006600,0.051200,0.00000,2021-09-30
0.066300,-0.022700,-0.005300,0.00000,2021-10-29
-0.015800,-0.013100,-0.003700,0.00000,2021-11-30
0.032300,-0.016300,0.032600,0.00010,2021-12-31
-0.061600,-0.059300,0.128600,0.00000,2022-01-31
-0.022800,0.021600,0.030600,0.00000,2022-02-28
0.030800,-0.015500,-0.019000,0.00000,2022-03-31
-0.094100,-0.013500,0.061800,0.00000,2022-04-29
-0.003400,-0.018400,0.084400,0.00030,2022-05-31
-0.084000,0.020700,-0.060000,0.00060,2022-06-30
