COF,CAPITAL ONE FINANCIAL CORP,Financials,Equity,"1,421,994,580.56",0.24,"1,421,994,580.56","7,373,196.00",192.86,United States,New York Stock Exchange Inc.,USD,1.0,USD,-,2017,6
TMUS,T MOBILE US INC,Communication,Equity,"1,343,133,267.80",0.23,"1,343,133,267.80","5,551,055.00",241.96,United States,NASDAQ,USD,1.0,USD,-,2017,6
MU,MICRON TECHNOLOGY INC,Information Technology,Equity,"1,331,700,224.75",0.23,"1,331,700,224.75","12,897,823.00",103.25,United States,NASDAQ,USD,1.0,USD,-,2017,6
VRTX,VERTEX PHARMACEUTICALS INC,Health Care,Equity,"1,325,425,109.25",0.23,"1,325,425,109.25","2,972,805.00",445.85,United States,NASDAQ,USD,1.0,USD,-,2017,6
MMC,MARSH & MCLENNAN INC,Financials,Equity,"1,320,797,976.96",0.22,"1,320,797,976.96","5,685,253.00",232.32,United States,New York Stock Exchange Inc.,USD,1.0,USD,-,2017,6
CRWD,CROWDSTRIKE HOLDINGS INC CLASS A,Information Technology,Equity,"1,313,253,679.68",0.22,"1,313,253,679.68","2,851,428.00",460.56,United States,NASDAQ,USD,1.0,USD,-,2017,6
APH,AMPHENOL CORP CLASS A,Information Technology,Equity,"1,288,551,729.92",0.22,"1,288,551,729.92","14,019,712.00",91.91,United States,New York Stock Exchange Inc.,USD,1.0,USD,-,2017,6
MDT,MEDTRONIC PLC,Health Care,Equity,"1,270,645,287.20",0.22,"1,270,645,287.20","14,843,987.00",85.60,United States,New York Stock Exchange Inc.,USD,1.0,USD,-,2017,6
COP,CONOCOPHILLIPS,Energy,Equity,"1,269,427,609.35",0.22,"1,269,427,609.35","14,769,373.00",85.95,United States,New York Stock Exchange Inc.,USD,1.0,USD,-,2017,6
LRCX,LAM RESEARCH CORP,Information Technology,Equity,"1,259,668,806.34",0.21,"1,259,668,806.34","14,859,842.00",84.77,United States,NASDAQ,USD,1.0,USD,-,2017,6
CB,CHUBB LTD,Financials,Equity,"1,258,682,606.46",0.21,"1,258,682,606.46","4,313,807.00",291.78,United States,New York Stock Exchange Inc.,USD,1.0,USD,-,2017,6
ADI,ANALOG DEVICES INC,Information Technology,Equity,"1,254,808,355.00",0.21,"1,254,808,355.00","5,742,830.00",218.50,United States,NASDAQ,USD,1.0,USD,-,2017,6
KLAC,KLA CORP,Information Technology,Equity,"1,203,214,963.49",0.2,"1,203,214,963.49","1,538,461.00",782.09,United States,NASDAQ,USD,1.0,USD,-,2017,6
ICE,INTERCONTINENTAL EXCHANGE INC,Financials,Equity,"1,191,424,977.75",0.2,"1,191,424,977.75","6,651,175.00",179.13,United States,New York Stock Exchange Inc.,USD,1.0,USD,-,2017,6
BX,BLACKSTONE INC,Financials,Equity,"1,175,675,876.04",0.2,"1,175,675,876.04","8,472,729.00",138.76,United States,New York Stock Exchange Inc.,USD,1.0,USD,-,2017,6
LMT,LOCKHEED MARTIN CORP,Industrials,Equity,"1,169,333,210.66",0.2,"1,169,333,210.66","2,424,946.00",482.21,United States,New York Stock Exchange Inc.,USD,1.0,USD,-,2017,6
MO,ALTRIA GROUP INC,Consumer Staples,Equity,"1,163,613,032.01",0.2,"1,163,613,032.01","19,619,171.00",59.31,United States,New York Stock Exchange Inc.,USD,1.0,USD,-,2017,6
PLD,PROLOGIS REIT INC,Real Estate,Equity,"1,163,377,239.99",0.2,"1,163,377,239.99","10,729,293.00",108.43,United States,New York Stock Exchange Inc.,USD,1.0,USD,-,2017,6
AMT,AMERICAN TOWER REIT CORP,Real Estate,Equity,"1,159,522,757.16",0.2,"1,159,522,757.16","5,409,231.00",214.36,United States,New York Stock Exchange Inc.,USD,1.0,USD,-,2017,6
CME,CME GROUP INC CLASS A,Financials,Equity,"1,159,140,851.36",0.2,"1,159,140,851.36","4,171,372.00",277.88,United States,NASDAQ,USD,1.0,USD,-,2017,6
SBUX,STARBUCKS CORP,Consumer Discretionary,Equity,"1,158,582,708.36",0.2,"1,158,582,708.36","13,149,276.00",88.11,United States,NASDAQ,USD,1.0,USD,-,2017,6
ANET,ARISTA NETWORKS INC,Information Technology,Equity,"1,135,316,634.76",0.19,"1,135,316,634.76","11,958,254.00",94.94,United States,New York Stock Exchange Inc.,USD,1.0,USD,-,2017,6
BMY,BRISTOL MYERS SQUIBB,Health Care,Equity,"1,126,416,370.10",0.19,"1,126,416,370.10","23,491,478.00",47.95,United States,New York Stock Exchange Inc.,USD,1.0,USD,-,2017,6
TT,TRANE TECHNOLOGIES PLC,Industrials,Equity,"1,123,309,943.36",0.19,"1,123,309,943.36","2,596,528.00",432.62,United States,New York Stock Exchange Inc.,USD,1.0,USD,-,2017,6
SO,SOUTHERN,Utilities,Equity,"1,119,856,321.89",0.19,"1,119,856,321.89","12,683,841.00",88.29,United States,New York Stock Exchange Inc.,USD,1.0,USD,-,2017,6
CEG,CONSTELLATION ENERGY CORP,Utilities,Equity,"1,084,710,423.16",0.18,"1,084,710,423.16","3,621,254.00",299.54,United States,NASDAQ,USD,1.0,USD,-,2017,6
FI,FISERV INC,Financials,Equity,"1,081,106,542.08",0.18,"1,081,106,542.08","6,585,688.00",164.16,United States,New York Stock Exchange Inc.,USD,1.0,USD,-,2017,6
WELL,WELLTOWER INC,Real Estate,Equity,"1,072,375,807.20",0.18,"1,072,375,807.20","7,052,784.00",152.05,United States,New York Stock Exchange Inc.,USD,1.0,USD,-,2017,6
DUK,DUKE ENERGY CORP,Utilities,Equity,"1,041,840,453.36",0.18,"1,041,840,453.36","8,982,932.00",115.98,United States,New York Stock Exchange Inc.,USD,1.0,USD,-,2017,6
MCK,MCKESSON CORP,Health Care,Equity,"1,029,251,932.84",0.18,"1,029,251,932.84","1,450,754.00",709.46,United States,New York Stock Exchange Inc.,USD,1.0,USD,-,2017,6
