1.1,0.2,-0.5,"{'current': -0.004914909212439103, 'A_nonzero_std': -0.004448191589774607, 'B_MAR_first': -0.0031297003811094877, 'C_annual_sigma': -0.005497109240311735, 'D_division': -0.011267862140076345, 'E_adj_lambda': -0.004950887064686611, 'F_sqrt_var': -0.004262700992883553}"
1.0,0.4,-0.4,"{'current': -0.03258203283506264, 'A_nonzero_std': -0.03166211585014941, 'B_MAR_first': -0.029180360146477402, 'C_annual_sigma': -0.0359597978278691, 'D_division': -0.043490839496333505, 'E_adj_lambda': -0.03266869866369927, 'F_sqrt_var': -0.03156946005193736}"
1.2,-0.1,-0.1,"{'current': 0.01089795294808643, 'A_nonzero_std': 0.011595887840302771, 'B_MAR_first': 0.014048907937383052, 'C_annual_sigma': -0.005544576068864621, 'D_division': 0.00681789088366345, 'E_adj_lambda': 0.010865174125613108, 'F_sqrt_var': 0.011065847314240332}"
1.1,0.4,-0.6,"{'current': -0.06557767083410138, 'A_nonzero_std': -0.06289499907136316, 'B_MAR_first': -0.056239077750089586, 'C_annual_sigma': -0.09634675329349934, 'D_division': -0.08250874333129725, 'E_adj_lambda': -0.06579327986438316, 'F_sqrt_var': -0.06450784320455029}"
1.0,-0.1,-0.1,"{'current': 0.007876533663297144, 'A_nonzero_std': 0.008347456881688343, 'B_MAR_first': 0.009361284568350649, 'C_annual_sigma': 0.006067384083740021, 'D_division': 0.003629103605132093, 'E_adj_lambda': 0.007855761720456069, 'F_sqrt_var': 0.008274508266038504}"
1.1,0.0,-0.2,"{'current': 0.004106084531977111, 'A_nonzero_std': 0.00471479693235596, 'B_MAR_first': 0.0059973790985229265, 'C_annual_sigma': 0.001800742980074415, 'D_division': -0.001406507483419168, 'E_adj_lambda': 0.0040753856577385155, 'F_sqrt_var': 0.004624417267545252}"
0.9,0.4,-0.5,"{'current': -0.014191383426233696, 'A_nonzero_std': -0.01293303980710854, 'B_MAR_first': -0.010414099519352352, 'C_annual_sigma': -0.02542228132599151, 'D_division': -0.022634671311652456, 'E_adj_lambda': -0.014260872231523362, 'F_sqrt_var': -0.013587349884075619}"
1.2,-0.1,-0.6,"{'current': 0.024421993326896246, 'A_nonzero_std': 0.024617611361170494, 'B_MAR_first': 0.02522944141856303, 'C_annual_sigma': 0.023442440479918607, 'D_division': 0.021911920577288913, 'E_adj_lambda': 0.024412098253430645, 'F_sqrt_var': 0.024639101077810976}"
1.3,0.1,-0.6,"{'current': 0.025829113159758017, 'A_nonzero_std': 0.02625459852295934, 'B_MAR_first': 0.02744819036332362, 'C_annual_sigma': 0.02442964888088936, 'D_division': 0.02045289819472719, 'E_adj_lambda': 0.025799525885491878, 'F_sqrt_var': 0.02633392351444764}"
1.1,0.3,-0.3,"{'current': -0.0014312183495546115, 'A_nonzero_std': -0.000868087115330774, 'B_MAR_first': 0.0005702031289448303, 'C_annual_sigma': -0.002535026240558956, 'D_division': -0.008407279784489706, 'E_adj_lambda': -0.0014732266828818355, 'F_sqrt_var': -0.0007307687769574348}"
0.9,0.5,-0.6,"{'current': -0.009742517776724899, 'A_nonzero_std': -0.008354789399797634, 'B_MAR_first': -0.004990914272273331, 'C_annual_sigma': -0.025015675730507947, 'D_division': -0.01870676429341784, 'E_adj_lambda': -0.00982393182805066, 'F_sqrt_var': -0.009165930276932677}"
