Date,Open,High,Low,Close,Adj
1-Dec-21,"2,547.72","2,669.60","2,499.56","2,645.91","2,645.91"
1-Nov-21,"2,583.47","2,650.13","2,542.70","2,545.78","2,545.78"
1-Oct-21,"2,418.91","2,585.38","2,400.91","2,583.83","2,583.83"
1-Sep-21,"2,537.58","2,551.48","2,417.72","2,418.16","2,418.16"
1-Aug-21,"2,470.28","2,546.80","2,448.64","2,537.31","2,537.31"
1-Jul-21,"2,420.74","2,490.27","2,376.31","2,469.17","2,469.17"
1-Jun-21,"2,365.17","2,425.10","2,342.71","2,421.14","2,421.14"
1-May-21,"2,356.97","2,380.26","2,277.11","2,364.53","2,364.53"
1-Apr-21,"2,242.24","2,380.42","2,242.24","2,356.67","2,356.67"
1-Mar-21,"2,161.87","2,252.39","2,099.81","2,238.17","2,238.17"
1-Feb-21,"2,101.64","2,246.86","2,101.64","2,159.32","2,159.32"
1-Jan-21,"2,121.05","2,190.91","2,068.32","2,101.36","2,101.36"
1-Dec-20,"2,038.15","2,123.34","2,038.15","2,120.87","2,120.87"
1-Nov-20,"1,826.91","2,050.02","1,826.91","2,037.36","2,037.36"
1-Oct-20,"1,873.90","1,981.13","1,807.07","1,825.67","1,825.67"
1-Sep-20,"1,946.60","1,992.67","1,784.46","1,872.70","1,872.70"
1-Aug-20,"1,823.53","1,953.98","1,823.53","1,946.15","1,946.15"
1-Jul-20,"1,719.60","1,822.03","1,718.51","1,815.99","1,815.99"
1-Jun-20,"1,681.78","1,791.51","1,640.90","1,717.47","1,717.47"
1-May-20,"1,573.43","1,695.64","1,521.90","1,682.75","1,682.75"
1-Apr-20,"1,393.09","1,626.74","1,340.46","1,601.82","1,601.82"
1-Mar-20,"1,635.59","1,732.63","1,198.54","1,416.49","1,416.49"
1-Feb-20,"1,789.41","1,879.40","1,581.01","1,635.21","1,635.21"
1-Jan-20,"1,789.93","1,845.43","1,776.68","1,784.03","1,784.03"
1-Dec-19,"1,737.64","1,794.14","1,697.89","1,784.21","1,784.21"
1-Nov-19,"1,682.78","1,744.65","1,682.78","1,736.85","1,736.85"
1-Oct-19,"1,644.67","1,684.32","1,578.01","1,677.08","1,677.08"
1-Sep-19,"1,617.91","1,670.52","1,600.02","1,644.18","1,644.18"
1-Aug-19,"1,652.08","1,670.08","1,562.70","1,618.61","1,618.61"
1-Jul-19,"1,635.66","1,678.28","1,634.97","1,652.40","1,652.40"
1-Jun-19,"1,524.71","1,640.18","1,511.92","1,629.02","1,629.02"
1-May-19,"1,634.96","1,636.18","1,523.04","1,524.42","1,524.42"
1-Apr-19,"1,572.42","1,634.01","1,572.42","1,631.87","1,631.87"
1-Mar-19,"1,547.04","1,584.88","1,509.85","1,570.23","1,570.23"
1-Feb-19,"1,498.35","1,561.59","1,488.34","1,545.73","1,545.73"
1-Jan-19,"1,383.14","1,500.86","1,350.05","1,498.36","1,498.36"
1-Dec-18,"1,530.64","1,547.48","1,296.23","1,384.26","1,384.26"
1-Nov-18,"1,499.07","1,555.51","1,453.33","1,525.56","1,525.56"
1-Oct-18,"1,616.61","1,626.58","1,438.76","1,498.65","1,498.65"
1-Sep-18,"1,610.88","1,629.73","1,589.65","1,614.54","1,614.54"
1-Aug-18,"1,563.00","1,618.67","1,550.72","1,610.70","1,610.70"
1-Jul-18,"1,509.09","1,577.97","1,499.72","1,560.36","1,560.36"
1-Jun-18,"1,503.51","1,550.80","1,495.07","1,509.96","1,509.96"
1-May-18,"1,468.13","1,521.66","1,439.50","1,502.31","1,502.31"
1-Apr-18,"1,464.34","1,506.89","1,417.19","1,468.28","1,468.28"
1-Mar-18,"1,501.37","1,551.92","1,435.52","1,464.87","1,464.87"
1-Feb-18,"1,561.32","1,568.14","1,402.57","1,501.23","1,501.23"
1-Jan-18,"1,482.32","1,588.98","1,482.32","1,561.66","1,561.66"
1-Dec-17,"1,467.40","1,492.35","1,444.43","1,481.81","1,481.81"
1-Nov-17,"1,428.28","1,472.89","1,416.64","1,467.42","1,467.42"
1-Oct-17,"1,397.18","1,431.06","1,397.18","1,427.43","1,427.43"
1-Sep-17,"1,370.11","1,396.90","1,355.69","1,396.90","1,396.90"
1-Aug-17,"1,368.84","1,379.34","1,338.24","1,369.61","1,369.61"
1-Jul-17,"1,344.26","1,376.67","1,333.78","1,368.57","1,368.57"
1-Jun-17,"1,336.31","1,359.70","1,333.45","1,343.52","1,343.52"
1-May-17,"1,322.78","1,340.19","1,303.70","1,336.18","1,336.18"
1-Apr-17,"1,310.19","1,330.51","1,291.27","1,322.44","1,322.44"
1-Mar-17,"1,312.45","1,331.57","1,286.70","1,310.06","1,310.06"
1-Feb-17,"1,267.40","1,316.29","1,261.25","1,311.34","1,311.34"
1-Jan-17,"1,241.96","1,277.98","1,241.96","1,265.35","1,265.35"
1-Dec-16,"1,220.78","1,263.08","1,214.00","1,241.66","1,241.66"
1-Nov-16,"1,177.67","1,229.18","1,154.34","1,220.68","1,220.68"
1-Oct-16,"1,202.01","1,202.44","1,171.53","1,177.46","1,177.46"
1-Sep-16,"1,203.07","1,213.33","1,174.79","1,202.25","1,202.25"
1-Aug-16,"1,204.44","1,215.50","1,189.20","1,203.05","1,203.05"
1-Jul-16,"1,161.62","1,206.25","1,147.73","1,204.43","1,204.43"
1-Jun-16,"1,160.66","1,175.14","1,101.55","1,161.57","1,161.57"
1-May-16,"1,144.02","1,164.42","1,120.41","1,160.95","1,160.95"
1-Apr-16,"1,138.34","1,168.10","1,124.09","1,143.76","1,143.76"
1-Mar-16,"1,067.84","1,145.08","1,067.84","1,138.84","1,138.84"
1-Feb-16,"1,068.11","1,082.09",995.55,"1,066.58","1,066.58"
1-Jan-16,"1,128.31","1,128.31",998.66,"1,069.78","1,069.78"
1-Dec-15,"1,155.34","1,167.40","1,103.52","1,131.88","1,131.88"
1-Nov-15,"1,153.65","1,174.30","1,120.37","1,154.66","1,154.66"
1-Oct-15,"1,068.68","1,161.51","1,053.93","1,153.55","1,153.55"
1-Sep-15,"1,095.65","1,128.16","1,042.14","1,068.46","1,068.46"
1-Aug-15,"1,174.31","1,178.93","1,042.77","1,100.51","1,100.51"
1-Jul-15,"1,158.62","1,188.48","1,141.49","1,173.55","1,173.55"
1-Jun-15,"1,179.69","1,189.88","1,148.83","1,152.64","1,152.64"
1-May-15,"1,166.92","1,191.59","1,154.29","1,176.67","1,176.67"
1-Apr-15,"1,155.98","1,187.88","1,146.12","1,164.03","1,164.03"
1-Mar-15,"1,173.92","1,181.76","1,139.38","1,156.95","1,156.95"
1-Feb-15,"1,113.99","1,182.31","1,103.57","1,173.46","1,173.46"
1-Jan-15,"1,146.97","1,151.66","1,105.91","1,111.85","1,111.85"
1-Dec-14,"1,146.74","1,163.01","1,095.40","1,144.37","1,144.37"
1-Nov-14,"1,122.48","1,153.47","1,112.41","1,148.90","1,148.90"
1-Oct-14,"1,095.48","1,122.05","1,010.80","1,121.98","1,121.98"
1-Sep-14,"1,118.88","1,124.75","1,092.39","1,096.43","1,096.43"
1-Aug-14,"1,074.09","1,118.31","1,061.73","1,117.71","1,117.71"
1-Jul-14,"1,096.56","1,109.28","1,075.60","1,075.60","1,075.60"
1-Jun-14,"1,072.82","1,098.23","1,067.65","1,094.59","1,094.59"
1-May-14,"1,050.93","1,072.25","1,037.05","1,071.96","1,071.96"
1-Apr-14,"1,051.07","1,060.23","1,012.14","1,050.20","1,050.20"
1-Mar-14,"1,038.51","1,054.51","1,027.28","1,046.42","1,046.42"
1-Feb-14,996.57,"1,046.15",970.79,"1,041.36","1,041.36"
1-Jan-14,"1,028.67","1,077.43",989.2,996.48,996.48
1-Dec-13,"1,005.67","1,040.49",985.79,"1,030.36","1,030.36"
1-Nov-13,981.2,"1,009.11",972.34,"1,004.97","1,004.97"
1-Oct-13,939.83,989.96,918.85,979.68,979.68
1-Sep-13,909.24,964.41,909.1,939.5,939.5
1-Aug-13,937.09,951.03,906.49,909.28,909.28
1-Jul-13,893.71,944.16,890.35,937.16,937.16
1-Jun-13,905.24,916.59,863.8,890.67,890.67
1-May-13,886.38,935.54,877.53,904.44,904.44
1-Apr-13,872.09,886.89,851.9,886.89,886.89
1-Mar-13,839.66,872.68,833.31,872.11,872.11
1-Feb-13,833.65,850.22,824.14,840.97,840.97
1-Jan-13,791.46,837.73,791.46,831.74,831.74
1-Dec-12,785.22,801.1,773.72,789.9,789.9
1-Nov-12,780.81,792.24,742.42,783.37,783.37
1-Oct-12,795,810.51,773.96,779.35,779.35
1-Sep-12,774.35,813.55,769.6,793.74,793.74
1-Aug-12,758.49,785.6,745.07,775.07,775.07
1-Jul-12,751.07,765.69,730.16,758.6,758.6
1-Jun-12,720.66,751.43,698.88,750.61,750.61
1-May-12,773.32,783.26,713.33,724.12,724.12
1-Apr-12,778.27,786.68,750.03,773.5,773.5
1-Mar-12,757.55,785.05,741.48,778.92,778.92
1-Feb-12,727.64,763.37,727.64,756.42,756.42
1-Jan-12,697.02,737.76,696.97,726.33,726.33
1-Dec-11,687.82,700.03,662.81,693.36,693.36
1-Nov-11,687.99,705.81,639.81,688.77,688.77
1-Oct-11,621.91,716.86,590.93,692.41,692.41
1-Sep-11,675.14,680.5,614.95,623.45,623.45
1-Aug-11,719.98,726.28,608.36,674.79,674.79
1-Jul-11,734.71,755.09,711.6,717.77,717.77
1-Jun-11,747.75,747.75,698.94,734.48,734.48
1-May-11,758.44,762.36,729.23,748.75,748.75
1-Apr-11,738.56,759.01,719.67,758.45,758.45
1-Mar-11,736.99,739.69,693.76,737.07,737.07
1-Feb-11,714.39,746.06,714.39,736.24,736.24
1-Jan-11,698.83,722,698.78,712.97,712.97
1-Dec-10,656.04,699.56,650.82,696.9,696.9
1-Nov-10,654.96,678.02,648.39,654.24,654.24
1-Oct-10,629.76,660.02,624.46,653.57,653.57
1-Sep-10,577.62,638.29,577.62,629.78,629.78
1-Aug-10,606.09,621.38,571.86,577.68,577.68
1-Jul-10,567.33,617.48,556,606.09,606.09
1-Jun-10,601.77,624.02,566.13,567.37,567.37
1-May-10,655.06,665.13,573.48,601.79,601.79
